0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
18315713	Crazy Cheesy	1	Pune	861, Khau Galli, Opposite Jnana Prabodhini, Sadashiv Peth, Pune	Sadashiv Peth	Sadashiv Peth, Pune	73.8462567329	18.5123571127	Fast Food, Cafe, Italian	450	Rs.	0	0	0	0	1	4.5	3F7E00	Excellent	1161
12036	SP's Biryani House	1	Pune	1472, Sadashiv Peth, Pune	Sadashiv Peth	Sadashiv Peth, Pune	73.8503585011	18.5081629640	Biryani, Mughlai	650	Rs.	0	0	0	0	2	4.0	5BA829	Very Good	1842
18558023	Crazy Cheesy	1	Pune	1555, Sadashiv Peth, Gadkari Sadan, Tilak Road, Pune	Tilak Road	Tilak Road, Pune	73.8465977088	18.5095348485	Fast Food, Cafe, Italian	450	Rs.	0	0	0	0	1	4.5	3F7E00	Excellent	846
11524	Durvankur	1	Pune	1166, New Sadashiv Peth, Sadashiv Peth, Pune	Sadashiv Peth	Sadashiv Peth, Pune	73.8462030888	18.5106333020	Maharashtrian	600	Rs.	0	1	0	0	2	4.1	5BA829	Very Good	1297
12144	Bedekar Tea Stall	1	Pune	Munjabacha Bol, Near Patrya Maruti Temple, Narayan Peth, Sadashiv Peth, Pune	Sadashiv Peth	Sadashiv Peth, Pune	73.8498200476	18.5148833446	Street Food	200	Rs.	0	1	0	0	1	3.9	9ACD32	Good	1070
12018	R Bhagat Tarrachand	1	Pune	Survey 709, 2nd Floor, City Jewel Mall, Laxmi Road, Narayan Peth, Budhwar Peth, Pune	Budhwar Peth	Budhwar Peth, Pune	73.8513639942	18.5144503334	North Indian, Chinese	600	Rs.	0	1	0	0	2	4.0	5BA829	Very Good	714
12148	Shahji's Parantha House	1	Pune	Shop 6, Devang Apartments, Raviwar Peth, Laxmi Road, Rasta Peth, Pune	Rasta Peth	Rasta Peth, Pune	73.8615446538	18.5160609260	North Indian	500	Rs.	0	1	0	0	2	4.4	5BA829	Very Good	682
13279	Chitale Bandhu Mithaiwale	1	Pune	759/54, Deccan Gymkhana, Pune	Deccan Gymkhana	Deccan Gymkhana, Pune	73.8521713391	18.5137690221	Street Food, Mithai	350	Rs.	0	1	0	0	1	4.3	5BA829	Very Good	733
18575827	Hakuna Matata	1	Pune	The Deccan Royaale Hotel, Near Sambhaji Park, JM Road, Pune	JM Road	JM Road, Pune	73.8455248252	18.5191822405	Continental, Italian, Desserts	1300	Rs.	0	1	0	0	3	4.0	5BA829	Very Good	1301
18315713	Crazy Cheesy	1	Pune	861, Khau Galli, Opposite Jnana Prabodhini, Sadashiv Peth, Pune	Sadashiv Peth	Sadashiv Peth, Pune	73.8462567329	18.5123571127	Fast Food, Cafe, Italian	450	Rs.	0	0	0	0	1	4.5	3F7E00	Excellent	1161
